DeltaZ (mm) : precision en profondeur,,,,
Formule 5 : DeltaZ = Z^2 / (f * B)    avec f = 1219 px,,,,
Z (cm),B = 8 cm,B = 10 cm,B = 12 cm,B = 15 cm
15,0.23,0.18,0.15,0.12
20,0.41,0.33,0.27,0.22
25,0.64,0.51,0.43,0.34
30,0.92,0.74,0.62,0.49
35,1.26,1,0.84,0.67
40,1.64,1.31,1.09,0.87
45,2.08,1.66,1.38,1.11
50,2.56,2.05,1.71,1.37
55,3.1,2.48,2.07,1.65
60,3.69,2.95,2.46,1.97
65,4.33,3.46,2.89,2.31
Vert < 2mm (grasping fin)  |  Jaune 2-5mm (pick-and-place)  |  Rouge > 5mm,,,,
Ratio B/Z et erreur relative (%),,,,
Formule 7 : B/Z    |    Formule 8 : erreur = Z / (f * B) * 100,,,,
Z (cm),B = 8 cm,B = 10 cm,B = 12 cm,B = 15 cm
15,1/2  (0.2%),1/2  (0.1%),1/1  (0.1%),1/1  (0.1%)
20,1/2  (0.2%),1/2  (0.2%),1/2  (0.1%),1/1  (0.1%)
25,1/3  (0.3%),1/2  (0.2%),1/2  (0.2%),1/2  (0.1%)
30,1/4  (0.3%),1/3  (0.2%),1/2  (0.2%),1/2  (0.2%)
35,1/4  (0.4%),1/4  (0.3%),1/3  (0.2%),1/2  (0.2%)
40,1/5  (0.4%),1/4  (0.3%),1/3  (0.3%),1/3  (0.2%)
45,1/6  (0.5%),1/4  (0.4%),1/4  (0.3%),1/3  (0.2%)
50,1/6  (0.5%),1/5  (0.4%),1/4  (0.3%),1/3  (0.3%)
55,1/7  (0.6%),1/6  (0.5%),1/5  (0.4%),1/4  (0.3%)
60,1/8  (0.6%),1/6  (0.5%),1/5  (0.4%),1/4  (0.3%)
65,1/8  (0.7%),1/6  (0.5%),1/5  (0.4%),1/4  (0.4%)
Vert : B/Z entre 1/5 et 1/3 (optimal)  |  Jaune : 1/10-1/5 ou 1/3-1/2  |  Rouge : hors plage,,,,
Distance min/max mesurable,,,,
Formule 6a : Z_min = (f * B) / d_max,,,,
numDisparities,B = 8 cm,B = 10 cm,B = 12 cm,B = 15 cm
d_max = 64,152.4 cm,190.5 cm,228.6 cm,285.8 cm
d_max = 128,76.2 cm,95.3 cm,114.3 cm,142.9 cm
d_max = 256,38.1 cm,47.6 cm,57.2 cm,71.4 cm
