Synthese (auto),,,,,,
Se calcule a partir de l'onglet Donnees. Vide tant qu'il n'y a pas d'essais.,,,,,,
Taux de reussite — tenue apres levee (HSV),,,,,,
Objet,proche,mi,loin,global,,
orange_cube,0.9,0.6,0.5,0.6666666666666666,,
purple_cylinder,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,,
light_blue_ball,,,,,,
blue_rectangular_box,,,,,,
black_triangular_prism,,,,,,
Nombre d'essais (HSV),,,,,,
Objet,proche,mi,loin,global,,
orange_cube,10,10,10,30,,
purple_cylinder,3,3,3,9,,
light_blue_ball,,,,,,
blue_rectangular_box,,,,,,
black_triangular_prism,,,,,,
Modes d'echec (tous essais),,,,,,
E1,E2,E3,E4,E5,E6,E7
6,8,5,1,1,0,0
perception,IK injoignable,fermeture a vide,perte a la levee,saisie orientation,rate du depot,materiel
Precision moyenne (tous essais),,,,,,
Erreur de pose atteinte (mm),,2.042279431778722,,,,
Correction cam_2 (mm),,13.27904796247362,,,,
Taux de reussite — HF a mi,,,,,,
Objet,mi,,,,,
orange_cube,0.7,,,,,
black_triangular_prism,,,,,,
light_blue_ball,,,,,,
